progetto,modello,mese,messaggi,token_input,token_output,cache_letta,cache_scritta,output_subagenti
progetto-01,opus-4-7,2026-05,288,6725,769286,70486849,8461312,0
progetto-01,opus-4-8,2026-05,2,4,9472,130806,136406,0
progetto-01,sonnet-4-6,2026-05,547,4119,513517,50826749,1952749,0
progetto-02,opus-4-7,2026-05,72,127,40329,6569796,136408,0
progetto-02,sonnet-4-6,2026-05,8,10,1841,241873,15317,0
progetto-03,opus-4-8,2026-05,25,6890,75644,1196015,200332,0
progetto-03,opus-4-8,2026-06,228,37897,921413,95188266,16151356,0
progetto-04,sonnet-4-6,2026-06,27,31,44674,1821694,72489,0
progetto-05,sonnet-4-6,2026-06,27,33,48224,1194679,40398,0
progetto-06,sonnet-4-6,2026-06,81,93,30224,5617900,77614,0
progetto-07,sonnet-4-6,2026-06,38,46,56856,2205281,59283,0
progetto-08,sonnet-4-6,2026-06,5,7,11116,137954,23423,0
progetto-09,sonnet-4-6,2026-06,8,10,21213,249189,34027,0
progetto-10,opus-4-8,2026-06,19,4197,42401,963265,104484,0
progetto-11,sonnet-4-6,2026-06,47,65,48065,3717519,82877,0
progetto-12,sonnet-4-6,2026-06,47,65,72012,3222465,139429,0
progetto-14,fable-5,2026-06,43,5015,92284,3245746,337751,0
progetto-14,opus-4-8,2026-06,47,1384,177866,9523648,291930,0
progetto-15,opus-4-8,2026-05,102,3556,181927,10262001,364020,0
progetto-15,fable-5,2026-06,73,11655,154194,29619562,2467346,0
progetto-15,opus-4-8,2026-06,1472,164162,2448692,679387794,35398768,0
progetto-15,fable-5,2026-07,31,8849,82424,9273266,878121,0
progetto-15,opus-4-8,2026-07,335,44966,694774,185903760,13708804,0
progetto-16,opus-4-8,2026-06,55,16806,308457,10939254,1698442,0
progetto-17,opus-4-7,2026-05,376,7860,611818,97886746,4530446,0
progetto-17,opus-4-8,2026-05,150,29981,458523,13491806,883758,0
progetto-17,sonnet-4-6,2026-05,237,21033,235847,20774082,619828,0
progetto-17,opus-4-8,2026-06,1482,162674,2910852,562493300,33807954,0
progetto-17,sonnet-4-6,2026-06,61,11322,44620,7236504,144056,0
progetto-17,fable-5,2026-07,80,3050,139714,22631474,1004061,0
progetto-17,opus-4-8,2026-07,616,43656,1135603,224749035,13927382,0
progetto-17,sonnet-5,2026-07,798,42534,600051,396889187,8755919,0
progetto-18,sonnet-4-6,2026-05,130,134,67633,15274081,166913,0
progetto-19,sonnet-4-6,2026-05,280,1300,259493,25055662,932276,0
progetto-20,opus-4-7,2026-05,102,204,276793,30123186,678840,0
progetto-21,opus-4-7,2026-05,174,370,466353,54311569,1235975,0
progetto-22,opus-4-8,2026-06,34,7525,51596,2162679,73633,0
SideKick,fable-5,2026-06,57,10665,122596,13809361,825756,0
SideKick,opus-4-8,2026-06,417,102053,1420805,125113089,5852460,0
SideKick,fable-5,2026-07,21,3145,41311,1954582,107712,0
